1.5931e-06,3.1862e-06,1.5931e-06,1,-1.9986,0.99862
1.6443e-06,3.2886e-06,1.6443e-06,1,-1.9967,0.99675
0.00055793,0.0011159,0.00055793,1,-1.9957,0.99568
2.4909e-06,2.4909e-06,0,1,-0.99777,0
1.2464e-06,2.4928e-06,1.2464e-06,1,-1.9961,0.99609
8.7154e-07,1.7431e-06,8.7154e-07,1,-1.9976,0.99761
9.6854e-07,1.9371e-06,9.6854e-07,1,-1.9997,0.99972
1.7606e-06,3.5213e-06,1.7606e-06,1,-1.9981,0.9981
1.6234e-06,3.2469e-06,1.6234e-06,1,-1.9964,0.99639
1.2453e-06,2.4906e-06,1.2453e-06,1,-1.9956,0.99558
1.2461e-06,2.4923e-06,1.2461e-06,1,-1.9958,0.99585
1.2474e-06,2.4948e-06,1.2474e-06,1,-1.9972,0.99716
0.25,0.5,0.25,1,-1.9992,0.99916
