0.99931+0.0021234i
0.99931-0.0021234i
0.99837+0.0015269i
0.99837-0.0015269i
0.99784+0.00055442i
0.99784-0.00055442i
0.99777
0.99804+0.0010742i
0.99804-0.0010742i
0.9988+0.0018841i
0.9988-0.0018841i
0.99986+0.0022295i
0.99986-0.0022295i
0.99905+0.0020196i
0.99905-0.0020196i
0.99819+0.0013109i
0.99819-0.0013109i
0.99779+0.0002794i
0.99779-0.0002794i
0.99792+0.00082076i
0.99792-0.00082076i
0.99858+0.001719i
0.99858-0.001719i
0.99958+0.0021937i
0.99958-0.0021937i
